,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,0.307,0.153,-25.952,0.0443,0.883,0.971,0.84,0.13,79.853
1,0.478,0.561,-14.545,0.0754,0.121,0.0114,0.881,0.257,118.898
2,0.501,0.927,-6.744,0.069,0.0555,0.0477,0.701,0.537,118.744
3,0.542,0.902,-6.028,0.104,0.00157,0.0121,0.697,0.245,99.944
4,0.574,0.932,-5.841,0.0711,0.0338,9.28e-06,0.717,0.665,128.864
5,0.281,0.578,-5.872,0.0306,0.024,9.42e-06,0.699,0.177,129.021
6,0.494,0.837,-5.354,0.0434,0.00513,0.0162,0.82,0.515,128.941
7,0.55,0.698,-5.881,0.058,0.0271,3.05e-05,0.776,0.337,124.775
8,0.505,0.701,-7.299,0.0392,0.0419,0.00066,0.989,0.331,86.012
9,0.534,0.689,-6.674,0.0267,0.0318,1.91e-06,0.815,0.377,113.644
10,0.508,0.733,-6.379,0.0392,0.0073,3.56e-05,0.779,0.399,96.011
11,0.619,0.744,-9.003,0.0249,0.0113,0.058,0.946,0.335,99.949
12,0.404,0.778,-6.368,0.0464,0.129,6e-05,0.692,0.376,173.892
13,0.47,0.857,-6.254,0.0632,0.0151,0.00276,0.771,0.385,138.235
14,0.436,0.895,-5.157,0.0768,0.0366,4.21e-05,0.795,0.35,126.232
15,0.436,0.939,-5.556,0.0742,0.026,0.0299,0.979,0.711,161.792
16,0.542,0.445,-9.158,0.026,0.0279,1.87e-06,0.728,0.178,120.631
17,0.446,0.709,-6.477,0.0328,0.048,4.69e-05,0.561,0.334,139.807
18,0.428,0.955,-5.901,0.19,0.0148,0.000185,0.762,0.297,140.926
19,0.646,0.488,-11.389,0.0311,0.000148,0.00156,0.105,0.142,114.973
20,0.599,0.694,-7.095,0.0275,0.000518,0.000174,0.322,0.205,121.925
21,0.578,0.638,-7.155,0.0286,0.00218,0.000181,0.157,0.385,160.043
22,0.733,0.876,-4.56,0.0385,0.00452,4.25e-06,0.916,0.63,112.981
23,0.652,0.726,-6.126,0.0598,0.000576,0.00171,0.0943,0.624,120.022
24,0.77,0.494,-8.635,0.073,0.00231,1.13e-06,0.339,0.67,124.023
25,0.441,0.662,-5.04,0.0271,0.0161,1.88e-06,0.048,0.0936,82.468
26,0.625,0.889,-4.922,0.0436,0.0101,0.0,0.27,0.608,126.996
27,0.656,0.641,-6.581,0.0289,0.000235,5.81e-05,0.0561,0.596,124.961
28,0.731,0.815,-4.934,0.0443,0.000583,0.000245,0.141,0.63,116.002
29,0.611,0.649,-6.914,0.0596,0.00638,0.0078,0.0891,0.226,111.913
30,0.253,0.738,-5.731,0.049,0.167,0.0156,0.0584,0.0646,106.015
31,0.646,0.488,-11.389,0.0311,0.000148,0.00156,0.105,0.142,114.973
32,0.599,0.694,-7.095,0.0275,0.000518,0.000174,0.322,0.205,121.925
33,0.578,0.638,-7.155,0.0286,0.00218,0.000181,0.157,0.385,160.043
34,0.733,0.876,-4.56,0.0385,0.00452,4.25e-06,0.916,0.63,112.981
35,0.652,0.726,-6.126,0.0598,0.000576,0.00171,0.0943,0.624,120.022
36,0.77,0.494,-8.635,0.073,0.00231,1.13e-06,0.339,0.67,124.023
37,0.441,0.662,-5.04,0.0271,0.0161,1.88e-06,0.048,0.0936,82.468
38,0.625,0.889,-4.922,0.0436,0.0101,0.0,0.27,0.608,126.996
39,0.656,0.641,-6.581,0.0289,0.000235,5.81e-05,0.0561,0.596,124.961
40,0.731,0.815,-4.934,0.0443,0.000583,0.000245,0.141,0.63,116.002
41,0.611,0.649,-6.914,0.0596,0.00638,0.0078,0.0891,0.226,111.913
42,0.253,0.738,-5.731,0.049,0.167,0.0156,0.0584,0.0646,106.015
