,title,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Opening - Live,Duran Duran,0.307,0.153,-25.952,0.0443,0.883,0.971,0.84,0.13,79.853
1,Intro - Live,Duran Duran,0.478,0.561,-14.545,0.0754,0.121,0.0114,0.881,0.257,118.898
2,Medazzaland - Live,Duran Duran,0.501,0.927,-6.744,0.069,0.0555,0.0477,0.701,0.537,118.744
3,Big Bang Generation - Live,Duran Duran,0.542,0.902,-6.028,0.104,0.00157,0.0121,0.697,0.245,99.944
4,Hungry Like the Wolf - Live,Duran Duran,0.574,0.932,-5.841,0.0711,0.0338,9.28e-06,0.717,0.665,128.864
5,Who Do You Think You Are? - Live,Duran Duran,0.281,0.578,-5.872,0.0306,0.024,9.42e-06,0.699,0.177,129.021
6,Electric Barbarella - Live,Duran Duran,0.494,0.837,-5.354,0.0434,0.00513,0.0162,0.82,0.515,128.941
7,A View to a Kill - Live,Duran Duran,0.55,0.698,-5.881,0.058,0.0271,3.05e-05,0.776,0.337,124.775
8,Out of My Mind - Live,Duran Duran,0.505,0.701,-7.299,0.0392,0.0419,0.00066,0.989,0.331,86.012
9,Save a Prayer - Live,Duran Duran,0.534,0.689,-6.674,0.0267,0.0318,1.91e-06,0.815,0.377,113.644
10,Be My Icon - Live,Duran Duran,0.508,0.733,-6.379,0.0392,0.0073,3.56e-05,0.779,0.399,96.011
11,Buried in the Sand - Live,Duran Duran,0.619,0.744,-9.003,0.0249,0.0113,0.058,0.946,0.335,99.949
12,Come Undone - Live,Duran Duran,0.404,0.778,-6.368,0.0464,0.129,6e-05,0.692,0.376,173.892
13,Anyone out There - Live,Duran Duran,0.47,0.857,-6.254,0.0632,0.0151,0.00276,0.771,0.385,138.235
14,Friends of Mine - Live,Duran Duran,0.436,0.895,-5.157,0.0768,0.0366,4.21e-05,0.795,0.35,126.232
15,Careless Memories - Live,Duran Duran,0.436,0.939,-5.556,0.0742,0.026,0.0299,0.979,0.711,161.792
16,Secret Oktober - Live,Duran Duran,0.542,0.445,-9.158,0.026,0.0279,1.87e-06,0.728,0.178,120.631
17,Ordinary World - Live,Duran Duran,0.446,0.709,-6.477,0.0328,0.048,4.69e-05,0.561,0.334,139.807
18,Rio - Live,Duran Duran,0.428,0.955,-5.901,0.19,0.0148,0.000185,0.762,0.297,140.926
